SubscriptionName,PolicyName,RetentionDays,RetentionWeeks,RetentionMonths,RetentionYears,IncrementalRetentionDays,SchedulePolicyType,ScheduleRunFrequency,ScheduleRunDays,WorkloadType,ResourceGroup,RecoveryServicesVault
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-AUAZ1-Backup-Recovery,RSV-AUAZ1-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-AutoTime-Recovery,rsv-usaz2-autotime-recovery
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-Backup-Recovery,RSV-USAZ2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAZ2-Systems,RSV-USAZ2
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-AutoTime-Backup,rsv-usae2-autotime-backup
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-AutoTime-Backup,rsv-usae2-autotime-backup
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-AutoTime-Backup,rsv-usae2-autotime-backup
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-Backup-Recovery,RSV-USAE2-Backup-IaaS
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-MDG-Backup,RSV-USAE2-MDG01
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-MDG-Backup,RSV-USAE2-MDG01
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-MDG-Backup,RSV-USAE2-MDG01
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR03
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier3,null,4,1,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier2,null,4,6,null,28,SimpleSchedulePolicy,Weekly,[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR01
Moog-Azure-IaaS,HANADB-Tier1,60,null,13,7,null,SimpleSchedulePolicy,Daily,[],SAPHanaDatabase,RG-USAE2-PRD-MDG-Migration,RSV-USAE2-MDG-ASR02
