Subscription,Resource Group,VM Name,OS,Auto Update Enabled
Moog-Azure-IaaS,RG-Moog-SLMCustomerPortal,USAzureSLMCP1,Windows,Yes
Moog-Azure-IaaS,RG-Moog-SLMCustomerPortal,USAzureSLMCP2,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-Jenkins,NLAW2WKSQA,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVDMIDSN01,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVPMIDSN01,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVPMIDSN02,Windows,No
Moog-Azure-IaaS,RG-NLAW2-ServiceNOW,NLAW2SVPMIDSN03,Windows,No
Moog-Azure-IaaS,RG-NLAW2-SLMDEV,NLAW2SVSLMDev1,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svemeavbr1,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-Veeam,NLAW2SVPVBOM01,Windows,No
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svvbop01,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svvlp02,Windows,Yes
Moog-Azure-IaaS,RG-NLAW2-Veeam,nlaw2svvsql01,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-Network,SGAZ1SV-VCE01,Linux,Yes
Moog-Azure-IaaS,RG-SGAZ1-Network,SGAZ1SVVCEJMP01,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVDMIDSN01,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVPMIDSN01,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVPMIDSN02,Windows,No
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVPMIDSN03,Windows,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svapacvbr1,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svcnvbr1,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-Veeam,SGAZ1SVPVBOM01,Windows,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svvbop01,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svvlp01,Windows,Yes
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svvsql01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-AAD_Connect,USAE2SVAADCON01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-AzureDataGateway,USAE2SVAZDGW01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-AzureDataGateway,USAE2SVAZDGW03,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-AzureDataGateway,USAE2SVDGW02,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-Aircraft_Command_Center_Analytics,USAE2SVCCADEV01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-Citrix,USAE2SVCITXFL01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-Certificate_Services,USAE2SVCESCEP1,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-HCM,USAE2SVHCM01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-HCM,USAZUREHCM02,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-NameSpace-CORP,USAE2SVDFS01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-OnBase,USAE2SVOBDV01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-OnBase,usae2svobfs01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-OnBase,usae2svobrs01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-OnBase,usae2svobws01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-SFTP,usae2psftp01,Linux,No
Moog-Azure-IaaS,RG-USAE2-SFTP,usae2svsftp01,Linux,No
Moog-Azure-IaaS,RG-USAE2-PRD-MDGSharedSQL,cral1svsql01v,Windows,No
Moog-Azure-IaaS,RG-USAE2-XDM,USAzureXDM01,Windows,No
Moog-Azure-IaaS,RG-USAE2-Veeam,USAE2SVVBOM01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-Veeam,USAE2SVVONE01,Windows,Yes
Moog-Azure-IaaS,RG-USAZ2-Directory,usaz2svpcaasdc1,Windows,Yes
Moog-Azure-IaaS,RG-USAZ2-NDES,USAzureNDES,Windows,No
Moog-Azure-IaaS,RG-USEA2-AzureMigrationASP,usae2svaspdv1,Windows,Yes
Moog-Azure-IaaS,RG-USEA2-AzureMigrationASP,usae2svaspp01,Windows,Yes
Moog-Azure-IaaS,RG-USEA2-AzureMigrationASP,usae2svaspqa1,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-PRD-MDGDW,slmdw2,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-MBS-Gateway,USAE2SVSAPPGW01,Windows,No
Moog-Azure-IaaS,RG-USAE2-MBS-Gateway,USAE2SVSAPPGW02,Windows,No
Moog-Azure-IaaS,RG-USAE2-MBS-Gateway,USAE2SVSAPQGW01,Windows,No
Moog-Azure-IaaS,RG-GBAZ1-Luton-ERP-WINMAN,GBAZ1SVLTNSQL01,Windows,Yes
Moog-Azure-IaaS,RG-GBAZ1-IndySoft,GBAZ1SVINDYSP01,Windows,Yes
