Subscription,Resource Group,VM Name,Change Tracking Enabled
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVDMIDSN01,No
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVPMIDSN01,No
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVPMIDSN02,No
Moog-Azure-IaaS,RG-SGAZ1-ServiceNOW,SGAZ1SVPMIDSN03,No
Moog-Azure-IaaS,RG-SGAZ1-TeamCenter,SGAZ1SVTCKR01,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svapacvbr1,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svcnvbr1,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,SGAZ1SVPVBOM01,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svvbop01,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svvlp01,No
Moog-Azure-IaaS,RG-SGAZ1-Veeam,sgaz1svvsql01,No
Moog-Azure-IaaS,RG-USAE2-AAD_Connect,USAE2SVAADCON01,No
Moog-Azure-IaaS,RG-USAE2-AzureDataGateway,USAE2SVAZDGW01,No
Moog-Azure-IaaS,RG-USAE2-AzureDataGateway,USAE2SVAZDGW03,No
Moog-Azure-IaaS,RG-USAE2-AzureDataGateway,USAE2SVDGW02,No
